,text,id,created_at,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder1.Makes.a.Factual.or.Verifiable.Claim,coder1.Expresses.an.Opinion,coder1.coder,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,coder2.Makes.a.Factual.or.Verifiable.Claim,coder2.Expresses.an.Opinion,coder.y,src,X
1,.@BuzzFeed: New York Republican Crowd Rejects @tedcruz https://t.co/wvpiDkmGWX,721025147721891840,4/15/2016 17:19:25,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
2,".@Fehertwit to #Trump: ""Are you less a**holey than you were before?"" https://t.co/0A31TCsVzP",755223994828193792,7/19/2016 2:13:26,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
3,".@HillaryClinton it's ""not whether or not you get knocked down, it's whether you get back up."" #DemDebate http://t.co/okZLB3qh5P",654131992045465600,10/14/2015 3:09:54,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
4,".@Hillaryclinton made history this week, dont miss it in this weeks #FridayHotTakes
https://t.co/XK7lSRatPu",695671066962763776,2/5/2016 18:11:21,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,christopher,brittanychristopher,0
5,.@HuffPostPol: Marco Rubio Just Lost To Donald Trump For The Fourth Time In A Row https://t.co/yXZ69AoAfK,702622036410159104,2/24/2016 22:32:02,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
6,".@marcorubio we're pretty sure women understand how a bank account works.
https://t.co/SHGJHRA85o",659762170373115904,10/29/2015 16:02:13,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
7,.@marcorubio's misuse of the FL @GOP credit card is only the beginning. https://t.co/7W53mmxtBw,662762890932436992,11/6/2015 22:46:01,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
8,".@realdonaldtrump  claims he could shoot someone &amp; still keep his support.
https://t.co/1cUC3ZvXyi",697489493968818176,2/10/2016 18:37:08,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
9,".@realDonaldTrump on racial profiling: ""Do we have a choice?"" https://t.co/hlFW6xUrbK",777835474316619776,9/19/2016 11:43:23,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,brittany ,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,christopher,brittanychristopher,0
10,".@tedcruz ""faced only muted criticism"" from the @GOP for his call to ""patrol and secure Muslim neighborhoods"" https://t.co/G2STmpJrIa",712728255204298752,3/23/2016 19:50:32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany ,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christopher,brittanychristopher,0
11,"""His flamboyant present overwrites his distressing past. Its the eternal sunshine of the spotless @realDonaldTrump""
https://t.co/WKd7VCJsDh",700363050117787648,2/18/2016 16:55:37,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
12,"""I don't believe anything Telemundo says"" - Trump #GOPDebate",703041748810010624,2/26/2016 2:19:49,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
13,@jsflegal Get your FREE #CrookedHillary bumper sticker today! https://t.co/fPLtgFc5ix,779051804537462784,9/22/2016 20:16:38,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,christopher,brittanychristopher,0
14,@KennedyNation @KimKimmwaters @mkhammer I'm inclined to agree. She did great!,696184867097194496,2/7/2016 4:13:01,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
15,"@TeamTrumpNC @cb_akardi @DanScavino Your ignorance of the issues proves you are no conservative. Stick with your lifelong democrat, Trump.",718488347706982400,4/8/2016 17:19:05,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
16,#BREAKING: @HillaryClinton wins #ARPrimary #SuperTuesday https://t.co/A3k4YRdiPO,704842983695327232,3/2/2016 1:37:17,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
17,"#Flint's water had 900x more lead than the EPA limit.
And more you didn't know about Flint: https://t.co/gSh3GxL5u3 https://t.co/0baOTMlApE",697559194203860992,2/10/2016 23:14:06,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,brittany ,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,christopher,brittanychristopher,0
18,#Trump just played two lies and a truth with the American people. https://t.co/w13HGyauiD,776832119163138048,9/16/2016 17:16:24,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
19,#TrumpLies  https://t.co/fbl0cveq03,763534313849663488,8/11/2016 0:35:40,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,christopher,brittanychristopher,0
20,"10 most bald-faced lies from #GOPDebate
5. @tedcruz: G W Bush deported 10 million people. He deported 1.8.
https://t.co/B7HiJ8L6wZ",677553874299842560,12/17/2015 18:20:06,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,christopher,brittanychristopher,0
21,"A little girl told @HillaryClinton she was scared that her parents will be deported.
Watch Hillary's response: https://t.co/e1KMbktvw9",700339235837050880,2/18/2016 15:21:00,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,brittany ,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,christopher,brittanychristopher,0
22,A streetcar-wreck named the #GOPDebate: WATCH: https://t.co/ejLDrxYtwH,705869195574050816,3/4/2016 21:35:05,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany ,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,christopher,brittanychristopher,0
23,Alaska is with @HillaryClinton #ImWithHer #AKcaucus https://t.co/ZhKeUn0XRr,713781073243545600,3/26/2016 17:34:03,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
24,Are you in Southern Iowa? Go out and visit with @govmikehuckabee at one of his campaign stops! http://t.co/yBZBgWSmLg,614085674312974336,6/25/2015 15:00:08,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,christopher,brittanychristopher,0
25,Daily reminder that @realDonaldTrump is disgusting. https://t.co/csPxXuaHfg,781560702108434432,9/29/2016 18:26:06,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
26,Donald Trump's support deeper than it looks - POLITICO https://t.co/5XhlNTbZaI,719894418849980416,4/12/2016 14:26:19,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
27,Former GOP Governor of Michigan William Milliken endorses @HillaryClinton: https://t.co/5W0KLBOiH1 #StrongerTogether,762759558020239360,8/8/2016 21:17:04,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher,0
28,FREE Spaghetti Supper this Sunday in Davenport w/ special guest Bobby Jindal! Get details and RSVP: https://t.co/CSvhFq0hw3 #IAPolitics,619873933744078848,7/11/2015 14:20:37,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,christopher,brittanychristopher,0
29,Graham belittles Paul on foreign policy http://t.co/QERAbnLHU0 #tcot,610452897340391424,6/15/2015 14:24:47,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christopher,brittanychristopher,0
30,ICYMI: @mike_pence is just as discriminatory as @realDonaldTrump. https://t.co/Mo5GTyHItf via @glaad,783406341255602176,10/4/2016 20:40:01,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,brittany ,-1,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
31,"Is chaos coming to the @GOP? Short answer: yes. Watch our Friday #HotTakes for more.
https://t.co/F7OKTHEB47",718521838138040320,4/8/2016 19:32:10,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany ,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,christopher,brittanychristopher,0
32,Jeb is speaking #ForeignPolicy tonight! Tonight he will be laying out his plan to bring America to the forefront http://t.co/8sEZVX5jXf,631275516222308352,8/12/2015 1:26:26,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany ,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,christopher,brittanychristopher,0
33,Marco Rubio is the conservative that can win in November. #SCPrimary #SCPolitics #Marcomentum  https://t.co/HCLhJ9uRJe,701065193095172096,2/20/2016 15:25:41,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany ,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christopher,brittanychristopher,0
34,"Martin O'Malley: a leader with bold ideas to combat climate change, who isn't afraid to make the hard choices http://t.co/v0Dkg5ILAV",626055827040899072,7/28/2015 15:45:15,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,brittany ,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,christopher,brittanychristopher,0
35,"NEW OP-ED by @HillaryClinton: ""Mass incarceration has torn families apart."" https://t.co/HPaVc4uu4A",725693652563939328,4/28/2016 14:30:24,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,brittany ,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,christopher,brittanychristopher,0
36,PPs disregard for life is disgusting. We need leaders like @ScottWalker who will stand up for life. #DefundPP http://t.co/OGw2ocEyg6,623607822060814336,7/21/2015 21:37:45,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,brittany ,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,christopher,brittanychristopher,0
