,text,id.x,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,src,id.y,created_at,hashtag.,at.,link,retweets,favorites,full.URL,source,date
1,... I announce my candidacy for President of the United States of America.,587740684284661760,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587740684284661760,4/13/2015 22:14:33,0,0,0,0,0,0,marcorubio,4/13/2015 22:14:33
2,".@brithume thinks that when Republicans drop out of the race, someone will pick up ALL of that vote. The fact is I will get much of it!",699793608963198976,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699793608963198976,2/17/2016 3:12:52,0,0,0,0,0,0,realDonaldTrump,2/17/2016 3:12:52
3,.@CSPAN is doing great work this long campaign season.  Thank them next time you call in - https://t.co/x8TGTVot5s,691424687063052288,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,stankennedy.csv,691424687063052288,1/25/2016 0:57:46,0,0,https://t.co/x8TGTVot5s,0,0,http://www.c-span.org/video/?403550-8/firstinthenation-presidential-town-hall-james-gilmore,gov_gilmore,1/25/2016 0:57:46
4,".@dcexaminer had some important holiday questions, like whether Die Hard is a Christmas movie. Yippee ki yay  https://t.co/QFrfFitNG3",680087324827475968,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,eamonemily.csv,680087324827475968,12/24/2015 18:07:08,0,0,https://t.co/QFrfFitNG3,0,0,http://www.washingtonexaminer.com/jeb-bush-answers-the-die-hard-christmas-movie-question/article/2579020,JebBush,12/24/2015 18:07:08
5,".@EvJack93 Thanks, Evan! Make sure you sign up at https://t.co/p1ZLCgQPt6",659562322264989696,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,staneamon.csv,659562322264989696,10/29/2015 2:48:06,0,0,https://t.co/p1ZLCgQPt6,8,34,https://www.chrischristie.com/,ChrisChristie,10/29/2015 2:48:06
6,".@granitewinger Thanks, I appreciate you and your friendship!",606478657297653760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606478657297653760,6/4/2015 15:12:34,0,0,0,12,41,0,GovernorPerry,6/4/2015 15:12:34
7,.@HillaryClinton &amp; @POTUS think we should lock up our energy resources. Jeb will embrace them. #GOPDebate https://t.co/FIm50AsBmi,664294037533405184,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664294037533405184,11/11/2015 4:10:15,#GOPDebate,@POTUS,https://t.co/FIm50AsBmi,74,103,https://twitter.com/JebBush/status/664294037533405184/photo/1,JebBush,11/11/2015 4:10:15
8,".@JackHeaphy I may be a bit biased, but I would start @ryantannehill1 for sure. The Dolphins should win again this week!",645319498174742528,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645319498174742528,9/19/2015 19:32:12,0,@ryantannehill1,0,37,143,0,marcorubio,9/19/2015 19:32:12
9,".@JohnKasich is staying upbeat &amp; civil in a contentious race, writes @BostonGlobe:
https://t.co/oEFGhHWIfS https://t.co/7YOq1QB1YI",694994195308793856,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694994195308793856,2/3/2016 21:21:43,0,@BostonGlobe,https://t.co/oEFGhHWIfS https://t.co/7YOq1QB1YI,0,0,https://www.johnkasich.com/blog-posts/boston-globe-highlights-john-kasichs-optimistic-campaign/ https://twitter.com/JohnKasich/status/694994195308793857/photo/1,JohnKasich,2/3/2016 21:21:43
10,".@JonahNRO, watched on @seanhannity and appreciate your statements --- I have been waiting for them for a long time. Thank you.",685855280798674944,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685855280798674944,1/9/2016 16:06:56,0,@seanhannity,0,810,2902,0,realDonaldTrump,1/9/2016 16:06:56
11,.@JordanSpieth  Great job--you are a true champion! See you soon.,612997261031776256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612997261031776256,6/22/2015 14:55:10,0,0,0,0,0,0,realDonaldTrump,6/22/2015 14:55:10
12,.@JrzyJoePiscopo great time on your show this morning discussing 2016 politics.  http://t.co/inKGglCMrs,638404451712245760,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638404451712245760,8/31/2015 17:34:16,0,0,http://t.co/inKGglCMrs,3,2,http://am970theanswer.com/Shows/L1673,gov_gilmore,8/31/2015 17:34:16
13,.@lenadunham is taking over Hillary's Instagram today! Follow for updates from the trail: https://t.co/1Uih94gHPi https://t.co/n2DRvz6zyN,685550944306753536,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,zoestan.csv,685550944306753536,1/8/2016 19:57:36,0,0,https://t.co/1Uih94gHPi https://t.co/n2DRvz6zyN,407,1243,0,HillaryClinton,1/8/2016 19:57:36
14,.@LindseyGrahamSC is a great American and a good friend. Ive always admired him and wish him the best.,678963697981722624,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678963697981722624,12/21/2015 15:42:14,0,0,0,43,140,0,ChrisChristie,12/21/2015 15:42:14
15,.@nikkihaley is a great pick to give this year's Republican response to the State of the Union address. She is a true conservative leader.,684518804290957312,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684518804290957312,1/5/2016 23:36:15,0,0,0,135,441,0,RealBenCarson,1/5/2016 23:36:15
16,".@realdonaldtrump thinks Ukraine should stay out of NATO. DTVP

https://t.co/vYjzYtwDu0",667540000733573120,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,emilyzoe.csv,667540000733573120,11/20/2015 3:08:33,0,0,https://t.co/vYjzYtwDu0,45,51,https://www.washingtonpost.com/news/the-fix/wp/2015/08/17/donald-trump-on-meet-the-press-annotated/,JohnKasich,11/20/2015 3:08:33
17,.@realDonaldTrumps tax cuts for millionaires &amp; billionaires would add more than $30 trillion to our national debt. https://t.co/cOA3YulFef,745695441753358336,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745695441753358336,6/22/2016 19:10:22,0,0,https://t.co/cOA3YulFef,1525,2959,0,HillaryClinton,6/22/2016 19:10:22
18,".@TheEllenShow, see you at 30 Rock this afternoon. Pantsuit up!",641325074960748544,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,eamonemily.csv,641325074960748544,9/8/2015 18:59:47,0,0,0,0,0,0,HillaryClinton,9/8/2015 18:59:47
