id,created_at,text,Sentiment....1.negative..0.neutral..1.positive.,Political...0.no..1.yes.,Ideology....1.liberal..0.neutral..1.conservative.,Immigration,Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,National.Security..Veterans..Military..Foreign.Terrorism.,Crime...Law.Enforcement..Police..Guns..Second.Amendment.,Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,Education,Health.Care..Obamacare.,Governance,No.Policy.Content,Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,Asks.you.to.watch.something.share.something.follow.something,Misc..other.plea.for.action,Makes.a.Factual.or.Verifiable.Claim,Expresses.an.Opinion
7.58329E+17,7/27/16,"Again, @realDonaldTrump lies about his support for the Iraq war. #TrumpLies https://t.co/9TfLGKouLR",-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.83495E+17,10/5/16,"""We trust American women.""Thank you, @TimKaine. #VPDebate",1,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.58866E+17,7/29/16,Lets put ourselves in the shoes of young black &amp; Latino people who face the effects of systemic racism and feel their lives are disposable.,0,1,-1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7.70337E+17,8/29/16,RT @AndrewFinkNH: With Primary Day tomorrow Orlando is feeling some #marcomentum! Volunteers working hard for @marcorubio #TeamMarco https:,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.56322E+17,7/22/16,"to protect our LGBT citizens from the violence and oppression of a hateful foreign ideology. To protect us from terrorism,",0,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7.83737E+17,10/5/16,How dare he?! https://t.co/wTMzaHBSDh,-1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.80595E+17,9/27/16,"Donald Trump's ""cavalier attitude about nuclear weapons is so deeply troubling. #DebateNight https://t.co/z66rUZz31J",-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.56924E+17,7/23/16,"RT @JordanChariton: Here Debbie Wass Schultz says @BernieSanders Is Just Always getting ""caught doing something wrong #DNCleak https://t.co",0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.51136E+17,7/7/16,ICYMI: @realDonaldTrump's FALSE claim that Saddam Hussein was 'so good' at 'killing terrorists'  https://t.co/2HsNuPSmY5 #TrumpLies,-1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.86622E+17,10/13/16,RT @colincampbell: The New York Times legal team responds to Donald Trump's legal threat: https://t.co/pLxC6NoxfV,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.85895E+17,10/11/16,"Coming out often takes incredible courage. On #NationalComingOutDay, let's honor that courage by showing LGBT Ameri https://t.co/0CJwesashh",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
7.57562E+17,7/25/16,NEW: Retired four-star General John Allen endorses @HillaryClinton https://t.co/ILc6B2oIs8,0,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA
7.27211E+17,5/2/16,"RT @TheBriefing2016: In Indiana, Hillary Clinton is taking on the state's new, restrictive abortion law. https://t.co/SFMlDOlJfX",0,1,-1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
