SuperPAC ,SuperPAC_Twitter,Candidate,Notes
America Leads,america_leads,Chris Christie,
America Next,America_Next,Bobby Jindal,
America’s Liberty PAC,americasliberty,Rand Paul,
Believe Again,BelieveAgainGOP,Bobby Jindal,
CARLY for America,carlyforamerica,Carly Fiorina,
Conservative Solutions PAC,cspac,Marco Rubio,
Correct the Record,CorrectRecord,Hillary Clinton,
Courageous Conservative 2016,tedcruz45,Ted Cruz,
Generation Forward,GenFwdPAC,Martin O'Malley,
Keep the Promise,KeepPromise1,Ted Cruz,
Make DC Listen,mkdclsn,Ted Cruz,
New Day for America,NewDay4America,John Kasich,
Opportunity and Freedom PAC,OppandFreedom,Rick Perry,
Our American Revival,OurRevival,Scott Walker,
Priorities USA Action ,prioritiesUSA,Hillary Clinton,
Pursuing America’s Greatness,PAGPAC,Mike Huckabee,
Right to Rise USA,r2rusa,Jeb Bush,
Security is Strength,securestrength,Lindsey Graham,
The 2016 Committee,DraftRunBenRun,Ben Carson,
The Purple PAC ,The_Purple_PAC,Rand Paul,( this seems to be Ed Crane's personal thing for some reason)
Unintimidated PAC,Unintimidated16,Scott Walker,
Working Again PAC,WorkingAgainPAC,Rick Santorum,
Millennials Rising,MillennialRise,Jeb Bush,
