"X.1","X","id","text","coder1.Sentiment....1.negative..0.neutral..1.positive.","coder1.Political...0.no..1.yes.","coder1.Ideology....1.liberal..0.neutral..1.conservative.","coder1.Immigration","coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.","coder1.National.Security..Veterans..Military..Foreign.Terrorism.","coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.","coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.","coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.","coder1.Education","coder1.Health.Care..Obamacare.","coder1.Governance","coder1.No.Policy.Content","coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign","coder1.Asks.you.to.watch.something.share.something.follow.something","coder1.Misc..other.plea.for.action","coder1.Expresses.an.Opinion","coder1.coder","coder2.Sentiment....1.negative..0.neutral..1.positive.","coder2.Political...0.no..1.yes.","coder2.Ideology....1.liberal..0.neutral..1.conservative.","coder2.Immigration","coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.","coder2.National.Security..Veterans..Military..Foreign.Terrorism.","coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.","coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.","coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.","coder2.Education","coder2.Health.Care..Obamacare.","coder2.Governance","coder2.No.Policy.Content","coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign","coder2.Asks.you.to.watch.something.share.something.follow.something","coder2.Misc..other.plea.for.action","coder2.Expresses.an.Opinion","coder2.coder","src","created_at","coder.y","X1.x","id.x","id.y","hashtag.","at.","link","retweets","favorites","full.URL","source","date"
1,582,6.37E+017,"The sheer size and remoteness of the federal bureaucracy has caused the American people to lose trust in government. https://t.co/guWSZPSzMn",-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"brittany",-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
2,584,7.11E+017,"RT @PilotNews: Ex-Va. Gov. Jim Gilmore not giving up presidential bid, aims to ""perform well"" in home state https://t.co/z1hbUDhSNh https:/",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
3,589,6.45E+017,"Listen here, #CruzCrew: https://t.co/lBBYSPIxcb https://t.co/TQWTR03Q23",1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
4,602,7.15E+017,"RT @FreeBeacon: .@tedcruz on jailing of Christian KY clerk: ""This is wrong. This is not America."" http://t.co/mIs19qi8ab http://t.co/K2eD79",-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"brittany",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
5,615,6.27E+017,"Just one candidate is in a strong position to defeat Hillary Clinton in November. 

John Kasich. https://t.co/lhMkU5DYSE",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
6,631,5.85E+017,"Champions. Welcome to NYC @ussoccer_wnt! https://t.co/w8O8cPBCLy",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"brittany",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
7,811,6.54E+017,"RT @RepRodBlum: Today I voted ""no"" on #HR2048, the #USAFreedomAct, because it continues the violation of the 4th Amendment rights of Americ",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"brittany",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
8,834,6.04E+017,"Thanks for joining #CruzCountry -- see y'all again shortly! https://t.co/278W0IOy8v",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
9,903,6.19E+017,"Hey #CPAC, John Kasich's plan returns power, money &amp; influence back to the people. https://t.co/rvquDJzq9w https://t.co/ACTuLwriXZ",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"brittany",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
10,956,6.5E+017,"RT @TheBriefing2016: You're right, @JohnKasich. The economy was in great shape when @billclinton left office. #GOPdebate",-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"brittany",1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"lauryn","brittanylauryn","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
