"name","announce","dropout"
"George_Pataki","05/28/15","12/29/15"
"Lindsey_Graham","06/01/15","12/21/15"
"Bobby_Jindal","06/24/15","11/17/15"
"Lawrence_Lessig","09/06/15","11/02/15"
"Jim_Webb","07/02/15","10/30/15"
"Lincoln_Chafee","06/30/15","10/23/15"
"Scott_Walker","07/13/15","09/21/15"
"Rick_Perry","06/04/15","09/11/15"
"Marco_Rubio","04/13/15","03/15/16"
"Ben_Carson","05/04/15","03/04/16"
"Jeb_Bush","06/15/15","02/20/16"
"Jim_Gilmore","07/30/15","02/12/16"
"Carly_Fiorina","05/04/15","02/10/16"
"Chris_Christie","06/30/15","02/10/16"
"Rand_Paul","04/07/15","02/03/16"
"Rick_Santorum","05/27/15","02/03/16"
"Mike_Huckabee","05/05/15","02/01/16"
"Martin_O'Malley","05/30/15","02/01/16"
"Bernie_Sanders","04/30/15",
"Hillary_Clinton","04/12/15",
"John_Kasich","07/21/15",
"Donald_Trump","06/16/15",
"Ted_Cruz","03/23/15",
